Timestamp,Email Address,Nama,Umur,Asal Universitas,Jurusan,Saya merasa lebih mudah memahami logika pemrograman jika dijelaskan melalui diagram alur (flowchart),Saya lebih suka menonton video tutorial koding daripada mendengarkan penjelasan suara saja.,Penggunaan warna yang berbeda pada kode (seperti di VS Code) sangat membantu saya mengenali struktur program.,Saya sering membayangkan bagaimana alur data mengalir dalam program seperti sebuah peta di pikiran saya,Saya lebih mudah mengingat perintah Python jika saya pernah melihatnya dalam bentuk infografis atau skema.,Saya merasa lebih cepat paham jika instruktur menjelaskan materi Python secara lisan di depan kelas/webinar.,Mendengarkan diskusi atau tanya jawab antar teman tentang suatu error membantu saya menemukan solusi.,Saya sering mengulang-ulang penjelasan guru di dalam hati atau dengan suara pelan untuk memahami konsep yang sulit.,Saya lebih suka mengikuti kursus yang menyediakan banyak sesi live session atau podcast teknis.,Instruksi yang diberikan melalui suara lebih mudah saya ikuti daripada instruksi yang hanya tertulis di layar.,Saya lebih suka membaca dokumentasi resmi atau buku teks Python untuk mendalami suatu materi.,Saya merasa harus menulis catatan atau rangkuman teks sendiri agar benar-benar memahami cara kerja sebuah fungsi.,Saya sangat menyukai penjelasan materi yang disajikan dalam bentuk daftar poin (bullet points) atau daftar langkah-langkah.,"Saat mencari solusi di internet, saya lebih memilih membaca artikel blog atau StackOverflow daripada menonton video.",Membaca komentar di dalam kode sangat membantu saya memahami tujuan dari baris kode tersebut.,Saya merasa bosan jika harus membaca teori terlalu lama tanpa mencoba langsung mengetik kodenya di komputer.,"Saya lebih cepat paham melalui metode trial and error (mencoba, salah, lalu memperbaiki sendiri).",Mengikuti tutorial live coding di mana saya mengetik bersamaan dengan instruktur adalah cara belajar favorit saya.,Saya lebih mudah memahami konsep Python jika saya mengaplikasikannya langsung ke dalam proyek nyata.,Saya merasa lebih percaya diri dengan kemampuan saya setelah berhasil memecahkan masalah koding secara mandiri.
4/17/2026 20:46:16,dziarurr@gmail.com,Dziarur,15 - 19 Tahun,UNNES,Statistika ,5,4,5,4,4,3,4,3,3,4,2,2,5,3,3,5,5,3,4,5
4/17/2026 20:57:43,budi.juarto@gmail.com,a,> 25 Tahun,a,a,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/17/2026 20:59:29,hkmfile@gmail.com,Ulum,20 - 24 Tahun,Trilogi,sistem informasi,3,4,5,1,2,4,5,2,3,1,5,4,5,3,5,3,1,2,4,4
4/17/2026 21:00:12,muhageng61@gmail.com,Muhammad Ageng Ramadhan,20 - 24 Tahun,Universitas Indraprasta,Pendidikan Bahasa Inggris,4,5,5,4,5,5,5,5,5,5,3,5,4,4,4,5,5,3,5,5
4/17/2026 21:01:59,anakja2008@gmail.com,Naufal Fakhrizal Rafli ,15 - 19 Tahun,Universitas Negeri Semarang ,Statistika terapan dan Komputasi ,4,4,4,4,3,3,4,4,3,3,3,3,5,2,4,5,5,3,3,4
4/17/2026 21:04:05,cacc963d6y2547@student.devacademy.id,Nelson Ferdinand Wangsaputra ,20 - 24 Tahun,Binus,Computer Science ,4,5,1,1,1,3,3,1,3,1,1,1,5,3,5,5,4,4,5,5
4/17/2026 21:05:43,michaelsuthirta@gmail.com,Michael Suthirta,20 - 24 Tahun,BINUS University,Computer Science,5,5,4,5,3,3,4,2,3,2,5,3,3,5,4,5,5,4,5,5
4/17/2026 21:10:40,renato.nathaniel7@gmail.com,Nath,15 - 19 Tahun,Unnes,Ssd,2,5,4,4,2,3,4,2,4,4,2,1,4,2,2,5,5,4,5,5
4/17/2026 21:12:25,stevenstj371@gmail.com,Steven Jeremiah ,20 - 24 Tahun,Bina Nusantara ,Computer Science ,5,4,5,5,3,3,5,1,1,1,1,4,5,3,5,4,5,1,3,5
4/17/2026 21:15:12,jeraxel712@gmail.com,Jeremy,20 - 24 Tahun,Binus,Computer science,4,4,5,5,3,3,5,4,3,3,2,4,4,2,5,3,5,4,5,5
4/17/2026 21:29:01,svirya232@gmail.com,Virya,20 - 24 Tahun,Politeknik Astra,Manajemen Informatika,5,5,4,5,3,3,4,4,5,3,3,1,4,3,2,4,5,3,5,5
4/17/2026 21:38:34,zenyalnrd@gmail.com,ceyyi,15 - 19 Tahun,Universitas Indonesia,Administrasi Niaga,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
4/17/2026 21:40:57,jonajonaan@gmail.com,Jonathan Kantohe,20 - 24 Tahun,Universitas Telkom Bandung,Informatika,5,4,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5
4/17/2026 21:50:27,sharonn1294@gmail.com,Sharon,20 - 24 Tahun,Binus,Computer Science,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
